Updated at 14:28:09,,,
,,Timestamp,Close Price
,.FTSE,2/11/2013,6277.06
,.FTSE,2/12/2013,6338.38
,.FTSE,2/13/2013,6359.11
,.FTSE,2/14/2013,6327.36
,.FTSE,2/15/2013,6328.26
,.FTSE,2/18/2013,6318.19
,.FTSE,2/19/2013,6379.07
,.FTSE,2/20/2013,6395.37
,.FTSE,2/21/2013,6291.54
,.FTSE,2/22/2013,6335.7
,.FTSE,2/25/2013,6355.37
,.FTSE,2/26/2013,6270.44
,.FTSE,2/27/2013,6325.88
,.FTSE,2/28/2013,6360.81
,.FTSE,3/1/2013,6378.6
,.FTSE,3/4/2013,6345.63
,.FTSE,3/5/2013,6431.95
,.FTSE,3/6/2013,6427.64
,.FTSE,3/7/2013,6439.16
,.FTSE,3/8/2013,6483.58
,.FTSE,3/11/2013,6503.63
,.FTSE,3/12/2013,6510.62
,.FTSE,3/13/2013,6481.5
,.FTSE,3/14/2013,6529.41
,.FTSE,3/15/2013,6489.65
,.FTSE,3/18/2013,6457.92
,.FTSE,3/19/2013,6441.32
,.FTSE,3/20/2013,6432.7
,.FTSE,3/21/2013,6388.55
,.FTSE,3/22/2013,6392.76
,.FTSE,3/25/2013,6378.38
,.FTSE,3/26/2013,6399.37
,.FTSE,3/27/2013,6387.56
,.FTSE,3/28/2013,6411.74
,.FTSE,4/2/2013,6490.66
,.FTSE,4/3/2013,6420.28
,.FTSE,4/4/2013,6344.12
,.FTSE,4/5/2013,6249.78
,.FTSE,4/8/2013,6276.94
,.FTSE,4/9/2013,6313.21
,.FTSE,4/10/2013,6387.37
,.FTSE,4/11/2013,6416.14
,.FTSE,4/12/2013,6384.39
,.FTSE,4/15/2013,6343.6
,.FTSE,4/16/2013,6304.58
,.FTSE,4/17/2013,6244.21
,.FTSE,4/18/2013,6243.67
,.FTSE,4/19/2013,6286.59
,.FTSE,4/22/2013,6280.62
,.FTSE,4/23/2013,6406.12
,.FTSE,4/24/2013,6431.76
,.FTSE,4/25/2013,6442.59
,.FTSE,4/26/2013,6426.42
,.FTSE,4/29/2013,6458.02
,.FTSE,4/30/2013,6430.12
,.FTSE,5/1/2013,6451.29
,.FTSE,5/2/2013,6460.71
,.FTSE,5/3/2013,6521.46
,.FTSE,5/7/2013,6557.3
,.FTSE,5/8/2013,6583.48
,.FTSE,5/9/2013,6592.74
,.FTSE,5/10/2013,6624.98
,.FTSE,5/13/2013,6631.76
,.FTSE,5/14/2013,6686.06
,.FTSE,5/15/2013,6693.55
,.FTSE,5/16/2013,6687.8
,.FTSE,5/17/2013,6723.06
,.FTSE,5/20/2013,6755.63
,.FTSE,5/21/2013,6803.87
,.FTSE,5/22/2013,6840.27
,.FTSE,5/23/2013,6696.79
,.FTSE,5/24/2013,6654.34
,.FTSE,5/28/2013,6762.01
,.FTSE,5/29/2013,6627.17
,.FTSE,5/30/2013,6656.99
,.FTSE,5/31/2013,6583.09
,.FTSE,6/3/2013,6525.12
,.FTSE,6/4/2013,6558.58
